study,year,gender,rr,ci_lower,ci_upper,weight
"Murray et al.",2020,"M/W",0.81,0.70,0.94,45.13
"Borch et al.",2019,"W",0.50,0.30,0.84,3.70
"Laukkanen et al.",2010,"M",0.51,0.26,0.99,2.19
"Inoue et al.",2008,"M",1.10,0.83,1.45,12.60
"Inoue et al.",2008,"W",0.92,0.56,1.49,4.10
"Sprague et al.",2008,"M/W",0.56,0.35,0.87,4.73
"Wannamethee et al.",2001,"M",0.76,0.40,1.43,2.42
"Lee et al.",1999,"M",0.61,0.41,0.89,6.53
"Thune et al.",1997,"M",0.73,0.54,0.98,11.04
"Thune et al.",1997,"W",0.87,0.21,3.62,0.48
"Severson et al.",1989,"M",0.70,0.48,1.01,7.09
